#,Category,Feature / Request,Description,Type,Priority (1-5),Notes
,,,,,"(1 = must-have, 5 = nice-to-have)",
,,,,,,(Teams: add comments here)
,,,,,,
,1. REPORT SCOPE & CONTEXT,,,,,
1,Report Scope,Multi-location / franchise reporting,"Parent org views email performance across all child locations",DATA — parent-child account hierarchy,,
2,Report Scope,Brand grouping within parent org,"Each location belongs to a brand (e.g. Living Root Kitchen, Greenway Market, PureField Produce)",DATA — brand field per location,,
3,Report Scope,Email channel-specific report,Report is specifically for the Email channel,DATA — channel-scoped metrics,,
4,Report Scope,Title bar context,"Shows location count, channel, and active date range at a glance",Functionality,,
,,,,,,
,2. CORE METRICS (PER LOCATION),,,,,
5,Core Metrics,Total Sends,"Count — scaled by date range",✅ DATA,,
6,Core Metrics,Open Rate (%),"Average across filtered locations",✅ DATA,,
7,Core Metrics,Click Rate (%),"Primary sort metric by default",✅ DATA,,
8,Core Metrics,Deliverability (%),"Critical health indicator",✅ DATA,,
9,Core Metrics,Bounce Rate (%),"Inverted — lower is better",✅ DATA,,
10,Core Metrics,Unsubscribe Rate (%),"Inverted — lower is better",✅ DATA,,
11,Core Metrics,Total Contacts,"List size per location",✅ DATA,,
12,Core Metrics,New Contacts,"Growth indicator",✅ DATA,,
,,,,,,
,3. KPI SUMMARY PANEL,,,,,
13,KPI Panel,"Aggregated KPIs across all filtered locations","Total sends, Avg open rate, Avg click rate, Deliverability",DATA — aggregated rollup of core metrics,,
14,KPI Panel,Period-over-period change per KPI,"e.g. '↑ +2.1% vs prev'",DATA — previous period values needed for delta,,
15,KPI Panel,Animated value transitions,"Values animate when filters/date range change",Functionality,,
16,KPI Panel,Clickable KPI tiles to sort,"Click a KPI tile to sort the location list by that metric",Functionality,,
17,KPI Panel,Active sort metric indicator,"Visually indicated on the active tile",Functionality,,
,,,,,,
,4. LEADERBOARD,,,,,
18,Leaderboard,Top 3 and Bottom 3 performers,"Shown side-by-side in the summary panel",Functionality — derived from core metrics,,
19,Leaderboard,Dynamic ranking by active metric,"Ranks by whichever metric is currently active for sorting",Functionality,,
20,Leaderboard,Minimum sends threshold,"Only locations with ≥100 sends are eligible",Functionality,,
21,Leaderboard,"Rank number, location name, brand, metric value","Each row shows full context",Functionality,,
,,,,,,
,5. DATE RANGE CONTROLS,,,,,
22,Date Range,"Preset tabs: 7d, 30d (default), 90d, YTD, 1yr","Quick-select date ranges",DATA — metrics must support date-range queries,,
23,Date Range,Custom date range picker,"From/To inputs with Apply/Cancel",Functionality,,
24,Date Range,Date badge on summary panel,"Updates in real time; flashes on change",Functionality,,
25,Date Range,Proportional data re-scaling,"Data is re-scaled proportionally when range changes",Functionality,,
,,,,,,
,6. FILTERING & SCOPING,,,,,
26,Filtering,Location dropdown,"Select a single location or 'All locations'",Functionality,,
27,Filtering,Single-location mode,"Updates hero title to show that location's name and brand",Functionality,,
28,Filtering,"Multi-select performance filters (OR within, AND across)","Performance: Needs attention, Strong, Average, Low activity",Functionality,,
29,Filtering,Issue-specific filters,"High bounce rate, Low deliverability, High unsub rate",Functionality,,
30,Filtering,Brand filter,"Filter by brand (Living Root Kitchen, Greenway Market, PureField Produce)",Functionality — requires brand DATA field,,
31,Filtering,Text search,"Matches location name or brand",Functionality,,
32,Filtering,Active filter pills,"Removable tags showing all applied filters, with 'Clear all'",Functionality,,
33,Filtering,Reset button,"Returns everything to defaults",Functionality,,
,,,,,,
,7. PERFORMANCE THRESHOLDS & COLOR CODING,,,,,
34,Thresholds,Good / OK / Warn / Bad rating system,"Metrics color-coded using defined thresholds",Functionality — logic applied to core metrics,,
35,Thresholds,"Open rate thresholds: ≥35% / ≥25% / ≥20% / <20%","Tiered performance bands",Functionality,,
36,Thresholds,"Click rate thresholds: ≥6% / ≥4% / ≥2.5% / <2.5%","Tiered performance bands",Functionality,,
37,Thresholds,"Deliverability thresholds: ≥95% / ≥90% / ≥85% / <85%","Tiered performance bands",Functionality,,
38,Thresholds,"Bounce rate thresholds: ≤1.5% / ≤2.5% / ≤4% / >4%","Inverted bands",Functionality,,
39,Thresholds,"Unsub rate thresholds: ≤0.5% / ≤1% / ≤2% / >2%","Inverted bands",Functionality,,
,,,,,,
,8. ALERTS & RECOMMENDATIONS ENGINE,,,,,
40,Alerts,Auto-generated urgent actions,"Deliverability <90% → guidance; Bounce >4% → guidance; etc.",Functionality — derived from core metrics,,
41,Alerts,Auto-generated improvement suggestions,"Tiered guidance for metrics in warning range",Functionality,,
42,Alerts,CTA disconnect detection,"High opens + low clicks → 'CTA disconnect'",Functionality — requires open + click DATA,,
43,Alerts,Low send volume warning,"<100 sends → 'Too low for insights'",Functionality — requires sends DATA,,
44,Alerts,Period-over-period decline alerts,"Flags declines in opens, clicks, deliverability",DATA — previous-period metrics needed,,
45,Alerts,Low list growth alert,"<2% new contacts flagged",DATA — requires new contacts + total contacts,,
46,Alerts,Win recognition,"Celebrates strong metrics and positive deltas",Functionality — derived from core metrics,,
47,Alerts,Dismissable alerts with undo,"Persisted in localStorage",Functionality,,
48,Alerts,Notice bar,"Summarizes total action items across all locations",Functionality,,
49,Alerts,Expandable alert drawer per card/table row,"Status badge + expandable drawer",Functionality,,
,,,,,,
,9. LOCATION STATUS LABELS,,,,,
50,Status Labels,"'X items · Y urgent'","Has urgent actions remaining",Functionality,,
51,Status Labels,"'X improvements'","Only non-urgent actions remaining",Functionality,,
52,Status Labels,"'Strong'","No actions remaining",Functionality,,
,,,,,,
,10. DISPLAY MODES,,,,,
53,Display,Card view — metric bar charts,"Relative to cohort, color-coded",Functionality,,
54,Display,Card view — sparkline trend chart,"Mini trend charts",DATA — time-series data for trend lines,,
55,Display,Card view — status badge + action tag,"Expandable drawer with dismiss",Functionality,,
56,Display,Card view — compare checkbox,"Always-on selection",Functionality,,
57,Display,Card view — click to drill down,"Click location name to drill into detail",Functionality,,
58,Display,Table view — sortable columns,"Location, Sends, Open rate, Click rate, Deliverability, Bounce rate, Status, Alerts",Functionality,,
59,Display,Table view — directional sort arrows,"Asc/desc toggle per column",Functionality,,
60,Display,Table view — expandable detail rows,"Full alert/guidance content",Functionality,,
61,Display,Table view — color-coded metric values,"Threshold-based coloring",Functionality,,
62,Display,Table view — sorted column highlighting,"Active column visually indicated",Functionality,,
63,Display,Table view — sticky headers,"Scrollable body with fixed header",Functionality,,
64,Display,View toggle (Cards / Table),"In list header",Functionality,,
,,,,,,
,11. LOCATION COMPARISON,,,,,
65,Comparison,Always-on compare checkboxes,"On every card/table row",Functionality,,
66,Comparison,Floating compare tray,"Shows count, presets (All, Top 3, Bottom 3), Clear",Functionality,,
67,Comparison,"'View Comparison' button","Enabled at ≥2 selections",Functionality,,
68,Comparison,KPI summary cards in compare view,"Best value + spread for open rate, click rate, deliverability, bounce rate",Functionality — uses core metrics,,
69,Comparison,Side-by-side comparison table,"All 8 metrics + status + alerts",Functionality,,
70,Comparison,Best/worst value highlighting,"Per row in comparison table",Functionality,,
71,Comparison,Average column,"Average across compared entities",Functionality,,
72,Comparison,Export comparison as CSV,"Separate export for comparison view",Functionality,,
73,Comparison,Compare toggle in control strip,"Toggles compare mode on/off",Functionality,,
,,,,,,
,12. EXPORT & SHARE,,,,,
74,Export,Export CSV,"Downloads filtered data with metadata header",Functionality,,
75,Export,Export comparison CSV,"Separate export for comparison view",Functionality,,
76,Export,Share URL,"Copies a shareable URL to clipboard",Functionality,,
,,,,,,
,13. SAVED VIEWS,,,,,
77,Saved Views,Save current filter state as named view,"Saves location, filters, search, date range, sort, view mode",Functionality,,
